date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct,source_url_1,source_url_2
2014-07-12,Liberia,NA,172.0,105.0,NA,61.05,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-12,Sierra Leone,NA,386.0,194.0,NA,50.26,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-08,Guinea,NA,409.0,309.0,NA,75.55,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-08,Liberia,NA,142.0,88.0,NA,61.97,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-08,Sierra Leone,NA,337.0,142.0,NA,42.14,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-06,Guinea,NA,408.0,307.0,NA,75.25,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-06,Liberia,NA,131.0,84.0,NA,64.12,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-06,Sierra Leone,NA,305.0,127.0,NA,41.64,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-02,Guinea,NA,412.0,305.0,NA,74.03,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-02,Liberia,NA,115.0,75.0,NA,65.22,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-07-02,Sierra Leone,NA,252.0,101.0,NA,40.08,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-30,Guinea,NA,413.0,303.0,NA,73.37,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-30,Liberia,NA,107.0,65.0,NA,60.75,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-30,Sierra Leone,NA,239.0,99.0,NA,41.42,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-22,Liberia,NA,51.0,34.0,NA,66.67,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-20,Guinea,NA,390.0,270.0,NA,69.23,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-20,Sierra Leone,NA,158.0,34.0,NA,21.52,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-19,Liberia,NA,41.0,25.0,NA,60.98,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-18,Guinea,NA,390.0,267.0,NA,68.46,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-18,Sierra Leone,NA,136.0,28.0,NA,20.59,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-17,Sierra Leone,NA,97.0,49.0,NA,50.52,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-16,Guinea,NA,398.0,264.0,NA,66.33,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-16,Liberia,NA,33.0,24.0,NA,72.73,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-10,Guinea,NA,351.0,226.0,NA,64.39,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-10,Liberia,NA,13.0,24.0,NA,184.62,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-10,Sierra Leone,NA,89.0,7.0,NA,7.87,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-05,Liberia,NA,13.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-05,Sierra Leone,NA,81.0,6.0,NA,7.41,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-03,Guinea,NA,344.0,215.0,NA,62.5,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-03,Liberia,NA,13.0,12.0,NA,92.31,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-03,Sierra Leone,NA,0.0,6.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-01,Guinea,NA,328.0,208.0,NA,63.41,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-01,Liberia,NA,13.0,12.0,NA,92.31,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-06-01,Sierra Leone,NA,79.0,6.0,NA,7.59,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-28,Guinea,NA,291.0,193.0,NA,66.32,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-28,Liberia,NA,13.0,12.0,NA,92.31,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-28,Sierra Leone,NA,50.0,6.0,NA,12.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-27,Guinea,NA,281.0,186.0,NA,66.19,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-27,Liberia,NA,12.0,11.0,NA,91.67,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-27,Sierra Leone,NA,16.0,5.0,NA,31.25,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-23,Guinea,NA,258.0,174.0,NA,67.44,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-23,Liberia,NA,12.0,11.0,NA,91.67,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-23,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-12,Guinea,NA,248.0,171.0,NA,68.95,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-12,Liberia,NA,12.0,11.0,NA,91.67,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-12,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-10,Guinea,NA,233.0,157.0,NA,67.38,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-10,Liberia,NA,12.0,11.0,NA,91.67,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-10,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-07,Guinea,NA,236.0,158.0,NA,66.95,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-07,Liberia,NA,13.0,11.0,NA,84.62,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-07,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-05,Guinea,NA,235.0,157.0,NA,66.81,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-05,Liberia,NA,13.0,11.0,NA,84.62,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-05,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-03,Guinea,NA,231.0,155.0,NA,67.1,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-03,Liberia,NA,13.0,11.0,NA,84.62,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-03,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-01,Guinea,NA,226.0,149.0,NA,65.93,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-01,Liberia,NA,13.0,11.0,NA,84.62,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-05-01,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-26,Guinea,NA,224.0,143.0,NA,63.84,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-26,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-24,Liberia,NA,35.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-24,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-23,Guinea,NA,218.0,141.0,NA,64.68,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-23,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-22,Sierra Leone,NA,0.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-21,Liberia,NA,34.0,11.0,NA,32.35,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-20,Guinea,NA,208.0,136.0,NA,65.38,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-20,Liberia,NA,0.0,6.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-17,Guinea,NA,203.0,129.0,NA,63.55,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-17,Liberia,NA,27.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-16,Guinea,NA,197.0,122.0,NA,61.93,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-16,Liberia,NA,27.0,13.0,NA,48.15,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-15,Sierra Leone,NA,12.0,0.0,NA,0.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-14,Guinea,NA,168.0,108.0,NA,64.29,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-11,Guinea,NA,159.0,106.0,NA,66.67,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-11,Liberia,NA,26.0,13.0,NA,50.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-11,Sierra Leone,NA,2.0,2.0,NA,100.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-09,Guinea,NA,158.0,101.0,NA,63.92,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-09,Liberia,NA,25.0,12.0,NA,48.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-09,Sierra Leone,NA,2.0,2.0,NA,100.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-07,Guinea,NA,151.0,95.0,NA,62.91,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-07,Liberia,NA,21.0,10.0,NA,47.62,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-07,Sierra Leone,NA,2.0,2.0,NA,100.0,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
2014-04-04,Guinea,NA,143.0,86.0,NA,60.14,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,NA
