date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct,source_url
2026-06-13,DR Congo,136,782,181,40,23.15,INRB Outbreak Baseline Direct
2014-03-23,Guinea,86,63,59,27,68.6,WHO West Africa
1995-05-01,DR Congo,315,250,254,61,80.63,WHO Archive
1976-08-26,DR Congo,318,318,280,38,88.05,CDC Historical
