date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct,source_url
6/5/26,DR Congo,0,1003,254,0,25.32,https://www.cdc.gov/ebola/situation-summary/index.html
6/5/26,Uganda,1,20,2,0,10,https://www.cdc.gov/ebola/situation-summary/index.html
5/29/26,DR Congo,0,1003,254,0,25.32,https://www.cdc.gov/ebola/situation-summary/index.html
5/29/26,Uganda,1,20,2,0,10,https://www.cdc.gov/ebola/situation-summary/index.html
5/22/26,DR Congo,0,1003,254,0,25.32,https://www.cdc.gov/ebola/situation-summary/index.html
5/22/26,Uganda,1,20,2,0,10,https://www.cdc.gov/ebola/situation-summary/index.html
5/15/26,DR Congo,0,1003,254,0,25.32,https://www.cdc.gov/ebola/situation-summary/index.html
5/15/26,Uganda,1,20,2,0,10,https://www.cdc.gov/ebola/situation-summary/index.html
5/30/26,DR Congo,1202,285,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/29/26,DR Congo,1202,285,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/28/26,DR Congo,1202,286,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/27/26,DR Congo,1129,124,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/26/26,DR Congo,1310,116,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/25/26,DR Congo,1236,105,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/24/26,DR Congo,1116,106,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/23/26,DR Congo,1125,100,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/22/26,DR Congo,1076,88,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/21/26,DR Congo,920,81,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/20/26,DR Congo,832,57,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/19/26,DR Congo,723,51,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/18/26,DR Congo,647,33,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/15/26,DR Congo,80,13,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
5/14/26,DR Congo,57,0,0,0,0,https://data.humdata.org/dataset/e902b209-b7bc-42f9-893a-294276d7cc62/resource/d90385d3-5339-4a3f-ac63-2699361edbe0/download/drc_ebola_cases_consolidated.csv
3/23/16,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
3/23/16,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/29/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
